User_ID,Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
51,Rau chân vịt,Vegetables,253,11.5,43.5,21.7,6.3,45.4,335,183,Bữa sáng,214
851,Cà rốt,Vegetables,488,4.6,68.8,47.2,7.1,26.1,85,240,Bữa trưa,567
96,Khoai tây,Vegetables,565,48.7,54.6,2.9,0.4,7,388,96,Bữa phụ,169
298,Quả nho,Fruits,179,1.4,47.7,20.3,4.8,27,595,292,Bữa trưa,209
807,Phô mai,Dairy,213,17.3,35.9,7.1,4.1,43.6,12,53,Bữa sáng,247
356,Bông cải xanh,Vegetables,355,44.5,70.5,37.4,8.3,27.1,36,295,Bữa phụ,689
624,Hạt,Snack,178,28,64.6,35.4,8.3,35.3,672,230,Bữa tối,518
399,Bánh mỳ,Grains,530,36.3,58,32.3,8.4,21.7,93,49,Bữa sáng,288
839,Nước,Beverages,417,7.7,97.6,39.2,8.8,5.7,292,220,Bữa tối,193
120,Chip,Snack,365,29.1,67.1,28.2,4.8,41.3,810,4,Bữa tối,652
614,Chuối,Fruits,140,19.1,38.6,30.2,7.1,12.6,766,245,Bữa tối,996
731,Sôcôla,Snack,106,38.9,16.9,33.7,3.4,32.7,589,280,Bữa tối,718
213,Phô mai,Dairy,410,23.9,51.4,16.1,2.2,14.5,783,215,Bữa trưa,817
488,Paneer,Dairy,223,30.1,20.9,15.6,6.7,18,896,198,Bữa tối,996
942,Phô mai,Dairy,160,41.1,34.7,14.7,4.6,8.6,341,249,Bữa sáng,931
127,Trà xanh,Beverages,224,22.3,28.7,10.1,3.8,25.7,656,229,Bữa phụ,350
645,Sôcôla,Snack,336,40.8,71.1,46.9,3.5,37.1,646,43,Bữa sáng,405
366,Bông cải xanh,Vegetables,343,41.8,62.8,19.3,4.2,33,666,266,Bữa phụ,326
119,Quả cam,Fruits,454,43.4,82.9,5.8,7.2,14.7,440,125,Bữa phụ,970
219,Bánh mỳ,Grains,199,6.2,52.4,9,6.3,1.1,676,246,Bữa phụ,454
372,Khoai tây,Vegetables,444,28.6,77.5,9.6,1.7,6.9,698,61,Bữa tối,605
987,Chip,Snack,139,7,73.1,3.1,3.9,10,768,275,Bữa sáng,428
296,Quả táo,Fruits,121,8.7,55.9,10.3,1.1,26,745,264,Bữa trưa,159
47,Cơm,Grains,287,2.2,91.8,31.5,9.1,26.9,592,250,Bữa phụ,334
849,Bông cải xanh,Vegetables,541,6.7,87.7,4.4,0.8,41.8,187,104,Bữa phụ,211
290,Mì ống,Grains,593,17.9,53.9,9.9,2.1,33.4,980,243,Bữa trưa,277
809,Bông cải xanh,Vegetables,311,21.3,67.6,5.8,7.6,44.3,328,161,Bữa tối,265
479,Bánh mỳ,Grains,587,20.4,84.3,36.7,5.6,36.2,321,31,Bữa trưa,308
184,Quả nho,Fruits,391,12.6,20.4,2.2,5.9,11.4,10,130,Bữa trưa,861
903,Bánh mỳ,Grains,79,10,89.4,12.9,7.7,29.8,164,212,Bữa tối,387
517,Quả nho,Fruits,67,27.7,41.9,38.4,5.3,36.9,459,247,Bữa phụ,671
265,Phô mai,Dairy,587,5.5,54.5,47.4,1.8,8.7,41,55,Bữa tối,633
472,Bơ,Dairy,136,33.7,37.7,42,4.3,15.2,540,117,Bữa phụ,789
639,Chuối,Fruits,561,45.4,56.8,31.8,8.2,35.5,318,93,Bữa trưa,364
947,Quả cam,Fruits,447,9,40.7,34.6,7.8,40.1,905,36,Bữa phụ,261
948,Sữa lắc,Beverages,204,25.4,18.2,45.1,9.1,27,46,292,Bữa trưa,444
14,Nước,Beverages,570,39.6,83.5,16.8,8,44.6,602,159,Bữa trưa,228
733,Quả táo,Fruits,521,18.6,46.2,36,3.6,27.6,613,127,Bữa trưa,193
993,Quinoa,Grains,481,29.2,12.5,9.7,7.6,34.5,42,120,Bữa tối,251
710,Hạt,Snack,369,38.2,16.8,4.1,6.9,4.1,70,165,Bữa tối,686
608,Da ua,Dairy,568,2.3,11.8,16.2,5,22.7,90,213,Bữa tối,353
60,Da ua,Dairy,172,6.9,25.7,29.1,7.2,45.5,509,198,Bữa trưa,100
594,Rau chân vịt,Vegetables,201,41,12.7,47.1,0.8,19.1,115,220,Bữa phụ,558
593,Trà xanh,Beverages,404,12.1,33.3,4.5,6.4,20.4,127,162,Bữa sáng,187
678,Sôcôla,Snack,531,20,12.3,30.3,9.9,38.1,194,138,Bữa sáng,906
975,Rau chân vịt,Vegetables,115,8.7,6.7,35.1,4.7,26,261,85,Bữa trưa,538
864,Cá hồi,Meat,59,36.3,13.9,26.9,5.7,8.8,916,64,Bữa sáng,269
365,Bỏng ngô,Snack,481,38.6,36.8,12.2,8.1,22.2,263,125,Bữa trưa,829
416,Sữa lắc,Beverages,328,6.8,85.3,17,8.1,40.8,607,171,Bữa phụ,182
484,Chuối,Fruits,358,27.3,37.5,16.7,0.3,47.1,703,98,Bữa trưa,811
303,Trứng,Meat,530,43.6,18.1,10.5,7.1,1,26,255,Bữa trưa,629
146,Trứng,Meat,95,37.2,81.9,20.7,6.1,19.8,722,275,Bữa phụ,219
424,Sôcôla,Snack,384,7.1,96.4,40,6.5,20.2,734,1,Bữa trưa,144
157,Sữa lắc,Beverages,103,30.2,70.8,42,4.6,8.4,6,222,Bữa sáng,721
565,Cà rốt,Vegetables,289,14,52.9,17.1,2.9,6.5,53,98,Bữa phụ,839
191,Sôcôla,Snack,551,35.6,13.8,4,8.2,21.5,134,288,Bữa phụ,186
641,Yến mạch,Grains,497,18,70.8,42.8,9.5,30.5,665,7,Bữa phụ,848
451,Sữa lắc,Beverages,414,22,67.8,8.4,2.2,2.2,648,159,Bữa tối,899
780,Rau chân vịt,Vegetables,205,1.1,10.5,28.1,6.4,21.8,937,44,Bữa tối,528
235,Cá hồi,Meat,574,20.4,92.9,35,3.9,44,49,32,Bữa sáng,246
758,Hạt,Snack,433,40.5,34.5,28.7,8.3,44,957,280,Bữa tối,802
288,Chuối,Fruits,546,12.3,52.9,37.8,9.2,24.2,183,137,Bữa sáng,421
804,Nước,Beverages,410,16.9,15.1,4,7.5,9.2,10,57,Bữa sáng,888
215,Quả táo,Fruits,79,18.1,74.7,19.7,0.2,46.6,270,36,Bữa tối,671
665,Cà chua,Vegetables,500,18.8,10.5,18.6,7.9,2.5,966,282,Bữa sáng,894
38,Quả nho,Fruits,425,25.3,83.8,7.4,8.6,25.1,206,48,Bữa tối,233
111,Cookie,Snack,113,21.4,27.1,29.3,5.1,47.2,304,163,Bữa sáng,132
92,Sôcôla,Snack,185,2.4,71.1,34.1,3.1,41.3,250,121,Bữa sáng,875
811,Nước,Beverages,559,26.3,63.2,33.1,4.1,5.6,502,154,Bữa sáng,880
472,Trứng,Meat,482,37.1,27.2,11.9,7.7,22,173,234,Bữa sáng,901
157,Cookie,Snack,542,16.6,42.3,28.8,2.2,28.3,700,99,Bữa phụ,768
446,Cà rốt,Vegetables,300,9.5,61.5,19,10,3.2,829,190,Bữa trưa,291
178,Bơ,Dairy,485,26.2,34.1,17.9,0.7,12.5,399,286,Bữa sáng,804
993,Nước cam,Beverages,71,6.7,90,31.2,2.6,22,372,22,Bữa tối,672
429,Khoai tây,Vegetables,181,43.1,87.1,38.2,2.7,18.4,76,266,Bữa sáng,669
78,Thịt lợn Chop,Meat,330,20.2,83.1,49.8,6.9,27.9,836,134,Bữa phụ,203
813,Sôcôla,Snack,249,11.4,13.3,28.6,1.7,1.7,535,269,Bữa trưa,300
795,Rau chân vịt,Vegetables,224,41.5,78.3,24.6,6.9,17.7,70,126,Bữa phụ,189
194,Cà phê,Beverages,246,15.1,97.7,27.5,2.1,28.2,367,261,Bữa tối,388
885,Thịt bò bít tết,Meat,499,26.9,25.2,26.7,7.1,21,645,40,Bữa trưa,610
3,Paneer,Dairy,194,6.2,80.8,32.6,8.9,21.6,334,41,Bữa tối,297
780,Sữa,Dairy,194,17.4,59.6,46.6,6.1,24,50,202,Bữa trưa,323
65,Cá hồi,Meat,200,21.8,28.4,34.2,5.2,20.9,511,157,Bữa tối,393
849,Cơm,Grains,244,10.6,74.4,34.2,0.1,41.5,668,170,Bữa phụ,570
499,Paneer,Dairy,185,22.3,10.4,17.3,6.9,1.7,993,121,Bữa sáng,567
715,Quả dâu,Fruits,219,25.9,65.9,17.3,7.3,14.9,576,290,Bữa trưa,489
645,Cá hồi,Meat,403,8.8,78.3,5.7,4.9,38.6,60,239,Bữa phụ,913
191,Quả nho,Fruits,214,10.9,86.3,2.6,1.4,40.3,977,177,Bữa sáng,603
490,Quả táo,Fruits,190,16.4,92.3,47.8,3.8,2.9,870,80,Bữa sáng,958
949,Cookie,Snack,157,21.7,10.6,33.8,8.2,0.9,822,85,Bữa sáng,806
542,Sữa lắc,Beverages,550,49.2,88.3,12.2,0.1,32.3,69,1,Bữa trưa,192
222,Sữa lắc,Beverages,319,32.4,86.4,46.9,5.5,17.4,601,189,Bữa phụ,570
460,Bỏng ngô,Snack,68,45.2,73.9,13.9,0.5,28.8,275,242,Bữa tối,617
602,Chuối,Fruits,519,5.9,45.5,41.7,7.8,9,319,283,Bữa trưa,971
442,Cà rốt,Vegetables,570,39.2,35.6,13,4.3,0.6,539,59,Bữa tối,317
336,Cookie,Snack,406,30.3,95.8,42.4,2.6,44,752,286,Bữa sáng,250
335,Nước cam,Beverages,589,11.2,16.5,43,9.4,15.6,758,177,Bữa tối,449
998,Quả cam,Fruits,60,34.9,9.3,22.7,7.3,27.8,192,69,Bữa sáng,560
244,Trà xanh,Beverages,532,16,25.4,40.8,4.5,49.4,505,191,Bữa tối,742
253,Quả táo,Fruits,458,36.9,94.6,5.7,7.6,29.9,498,246,Bữa phụ,612
431,Khoai tây,Vegetables,377,49.9,42.9,33.6,7.7,15.7,108,35,Bữa tối,360
496,Thịt lợn Chop,Meat,563,9.5,18.2,16.6,6.7,25.6,108,174,Bữa sáng,615
695,Bỏng ngô,Snack,204,49.6,75.5,22.6,9.9,7.6,620,85,Bữa sáng,746
775,Quả cam,Fruits,218,37.1,98.1,18.2,1.3,18.7,97,120,Bữa tối,557
140,Sôcôla,Snack,369,33.1,16.9,5.7,5.6,18.3,517,260,Bữa trưa,548
42,Bông cải xanh,Vegetables,463,44.9,6.3,33.4,6.7,26.5,987,170,Bữa phụ,263
469,Sữa,Dairy,487,16.8,17.6,32.3,7.2,36.3,661,110,Bữa sáng,925
723,Ức gà,Meat,84,30.6,38.8,15.5,5.3,14.6,110,4,Bữa trưa,874
593,Da ua,Dairy,156,1,83.5,16.8,1.7,16.6,331,100,Bữa phụ,515
469,Hạt,Snack,202,11.9,23.5,28.3,4.4,49.5,559,185,Bữa phụ,835
328,Cookie,Snack,558,40.3,45,15.8,6.2,20.7,608,239,Bữa tối,971
913,Cà rốt,Vegetables,499,42.8,65,1.6,9.3,45.3,871,56,Bữa trưa,688
191,Cà phê,Beverages,519,28.6,52.9,43.1,1.7,20.3,922,222,Bữa tối,825
318,Chip,Snack,235,29,85.4,26.3,7.3,47.9,257,278,Bữa phụ,308
448,Bơ,Dairy,295,34.1,27.1,42.6,7.8,49.9,178,239,Bữa phụ,172
321,Quinoa,Grains,323,25,94.3,31.2,5.3,13.3,447,32,Bữa phụ,350
252,Sôcôla,Snack,245,46.1,9.8,48.3,3.2,19.3,0,221,Bữa trưa,399
150,Nước cam,Beverages,407,15.5,86.6,31.3,0.7,26.4,782,16,Bữa tối,655
126,Ức gà,Meat,485,47.9,16,24.1,4.8,38.4,743,260,Bữa sáng,618
359,Yến mạch,Grains,427,25.1,40.9,1.4,9.8,6.8,670,213,Bữa sáng,223
518,Cá hồi,Meat,277,15.7,8.9,45.6,6.4,34.1,617,101,Bữa sáng,260
943,Cà rốt,Vegetables,493,31.6,59.5,34,4.9,8.6,499,90,Bữa sáng,324
338,Cookie,Snack,338,5.4,99.3,23.2,5.2,32.1,733,27,Bữa sáng,150
481,Cà chua,Vegetables,574,14.9,51.5,29.4,6.8,43.8,266,233,Bữa tối,563
405,Cà chua,Vegetables,514,14.9,93.4,20.3,7.1,17.1,11,293,Bữa trưa,160
496,Cá hồi,Meat,62,5.7,50,37.8,8.3,35.3,202,158,Bữa phụ,551
162,Quả táo,Fruits,196,7.7,23.9,26.9,5.6,26.3,647,184,Bữa sáng,820
522,Bông cải xanh,Vegetables,92,45,37.3,17.3,9.5,36.5,169,296,Bữa trưa,873
453,Sôcôla,Snack,326,47.2,71.9,9.2,6,19.6,758,2,Bữa trưa,728
956,Quả táo,Fruits,417,46.8,31.9,27.1,7.6,40.3,583,135,Bữa tối,101
196,Sữa lắc,Beverages,465,32.7,23,3.4,9,31.8,661,280,Bữa phụ,401
548,Quinoa,Grains,410,27.7,75.2,7.6,1.6,49.2,747,235,Bữa tối,104
503,Ức gà,Meat,165,31.6,68,30.3,0.8,23.4,626,87,Bữa phụ,732
294,Thịt lợn Chop,Meat,440,41.6,50.8,35.1,7.5,43.7,249,220,Bữa sáng,735
605,Sữa lắc,Beverages,501,10.5,84.7,30.9,9.7,19.5,419,138,Bữa tối,132
841,Thịt lợn Chop,Meat,337,38,87.7,42,5.2,37.3,806,3,Bữa tối,151
853,Phô mai,Dairy,492,2.5,80.1,31.2,0.9,47.9,655,253,Bữa sáng,210
970,Trà xanh,Beverages,159,45.1,40.7,36,9.6,22.8,938,20,Bữa sáng,105
859,Sữa,Dairy,481,9.1,20.9,42.8,8.6,42.9,392,165,Bữa tối,707
624,Bỏng ngô,Snack,60,23.9,18.5,34,4.4,2.1,293,85,Bữa phụ,653
645,Bánh mỳ,Grains,561,36.7,35.5,12.6,0.8,25.1,458,225,Bữa phụ,431
761,Nước,Beverages,580,23.6,15.6,49.9,5.3,44.9,996,5,Bữa tối,487
589,Bỏng ngô,Snack,515,37.6,41,44.2,9.7,21.7,100,124,Bữa tối,128
887,Bỏng ngô,Snack,406,40,17.9,10.4,2.7,7.5,241,80,Bữa sáng,966
609,Hạt,Snack,344,24.3,26.3,4.7,3,17.1,966,274,Bữa sáng,206
707,Da ua,Dairy,98,4.6,32.7,34.9,5.7,38,898,127,Bữa sáng,943
356,Thịt lợn Chop,Meat,141,40.7,81.6,44.6,5.3,40.5,6,158,Bữa sáng,877
929,Trà xanh,Beverages,138,29.8,6.3,7.6,1.1,23.4,545,63,Bữa tối,471
912,Trứng,Meat,256,16.3,75,37.9,9.1,6.1,262,159,Bữa trưa,512
807,Sữa lắc,Beverages,267,30.4,70.3,25.9,8.1,46.2,172,3,Bữa phụ,323
849,Sôcôla,Snack,488,21.7,82.1,15,0.8,30.6,107,287,Bữa sáng,144
443,Cà chua,Vegetables,364,28.6,39.7,25.3,9.2,25.9,523,59,Bữa tối,201
547,Sữa lắc,Beverages,521,34.8,36.9,43,2.8,26.3,565,64,Bữa trưa,362
141,Khoai tây,Vegetables,437,10.4,71.6,19.1,1.7,16.2,992,130,Bữa trưa,436
218,Cà rốt,Vegetables,588,46.6,14.1,14.9,3.2,36.2,992,236,Bữa sáng,148
279,Sữa lắc,Beverages,470,13.1,93.5,29.9,4.8,33.9,699,116,Bữa trưa,524
852,Quả dâu,Fruits,343,1.6,47.7,24.5,1.1,0.5,41,39,Bữa sáng,558
708,Rau chân vịt,Vegetables,311,7.7,58.2,39,3.6,26.7,534,270,Bữa trưa,320
382,Sôcôla,Snack,413,39.6,56.8,29.1,7.5,48.3,933,71,Bữa sáng,122
726,Sữa lắc,Beverages,336,15.2,11.1,1.1,1.8,3.4,856,204,Bữa sáng,765
148,Quả cam,Fruits,141,19.8,8.2,46.5,9,18.3,803,175,Bữa trưa,101
409,Quinoa,Grains,268,35.6,30.5,17.7,8.1,34.4,851,53,Bữa trưa,201
25,Cơm,Grains,287,44.7,76.7,28.5,7.3,30,586,177,Bữa phụ,782
