id,user_query,category,answer
26,Cần tìm bữa ăn giảm cân ít tốn kém sinh viên.,meal_plan,"Gợi ý Eat Clean cho bạn: Sáng: Salad ức gà nhỏ. Trưa: Tôm hấp, Miến dong và Rau cải. Tối: Salad cá ngừ ít sốt. Bữa phụ: 1 quả táo. (Nhớ uống đủ 2 lít nước nhé!)"
27,cho xin tớ cái bữa ăn giảm cân cần ngay.,meal_plan,Menu ít calo tham khảo: Sáng: Sinh tố bơ chuối ít đường. Trưa: Bún chùm ngây thịt nạc. Tối: Súp rau củ thập cẩm. Bữa phụ: Hạt hạnh nhân. (Nhớ uống đủ 2 lít nước nhé!)
28,"tớ gầy quá, gợi ý menu tăng cân với.",meal_plan,Menu giàu năng lượng: Sáng: Bánh mì ốp la 2 trứng và Sữa đậu nành. Trưa: Gà rán và Cơm rang dương châu. Tối: Cháo sườn sụn và Quẩy. Bữa phụ: Sữa whey protein. (Nhớ uống đủ 2 lít nước nhé!)
29,bữa ăn xuống ký cho dân văn phòng lười nấu?,meal_plan,Lịch ăn giảm mỡ: Sáng: 2 lòng trắng trứng và khoai lang luộc. Trưa: Bún chùm ngây thịt nạc. Tối: Súp rau củ thập cẩm. Bữa phụ: 1 hũ sữa chua không đường. (Nhớ uống đủ 2 lít nước nhé!)
30,"tôi gầy quá, lên giúp kế hoạch ăn uống béo lên với.",meal_plan,Thực đơn xả cơ: Sáng: Bún bò huế đầy đủ. Trưa: Cơm thịt kho tàu và Trứng luộc. Tối: Mì xào bò rau cải. Bữa phụ: Sinh tố bơ sầu riêng. (Nhớ uống đủ 2 lít nước nhé!)
31,gợi ý mẹ bỉm cái menu xuống ký nhanh giúp em.,meal_plan,Thực đơn diet hôm nay: Sáng: 1 quả trứng luộc và 1 lát bánh mì đen. Trưa: Bún chùm ngây thịt nạc. Tối: Súp rau củ thập cẩm. Bữa phụ: 1 hũ sữa chua không đường. (Nhớ uống đủ 2 lít nước nhé!)
32,muốn có anh cái kế hoạch ăn uống eat clean cần ngay.,meal_plan,"Gợi ý Eat Clean cho bạn: Sáng: 1 quả trứng luộc và 1 lát bánh mì đen. Trưa: Tôm hấp, Miến dong và Rau cải. Tối: Súp rau củ thập cẩm. Bữa phụ: 1 hũ sữa chua không đường. (Nhớ uống đủ 2 lít nước nhé!)"
33,Ăn trà sữa nhiều có tốt không?,nutrition_fact,"Chào bạn, theo dữ liệu thì món trà sữa chứa khoảng 621 calo/100g."
34,cần tớ cái chế độ ăn xuống ký nhanh giúp em.,meal_plan,Menu ít calo tham khảo: Sáng: 2 lòng trắng trứng và khoai lang luộc. Trưa: Thịt bò xào ớt chuông và 1/2 chén cơm. Tối: Súp rau củ thập cẩm. Bữa phụ: Hạt hạnh nhân. (Nhớ uống đủ 2 lít nước nhé!)
35,Lên lịch ăn uống để tăng cơ đón Tết giúp tôi.,meal_plan,Ăn thế này đảm bảo lên ký: Sáng: Xôi gà xá xíu. Trưa: Cơm sườn bì chả và Canh chua. Tối: Lẩu thái hải sản (ăn tại nhà). Bữa phụ: Sữa whey protein. (Nhớ uống đủ 2 lít nước nhé!)
36,"trợ lý ơi, tôi muốn giảm béo, ăn uống thế nào?",meal_plan,"Gợi ý Eat Clean cho bạn: Sáng: Sinh tố bơ chuối ít đường. Trưa: Tôm hấp, Miến dong và Rau cải. Tối: Canh bí xanh nấu tôm. Bữa phụ: 1 hũ sữa chua không đường. (Nhớ uống đủ 2 lít nước nhé!)"
37,"Bố mình bị đau dạ dày, xin thực đơn an toàn.",meal_plan,Gợi ý bữa ăn an toàn: Sáng: Phở gạo lứt ức gà. Trưa: Đậu phụ sốt cà chua và Cơm lứt. Tối: Cá chép om dưa (bỏ mỡ). Bữa phụ: Củ đậu. (Nhớ uống đủ 2 lít nước nhé!)
38,làm cho cháu cái menu siết mỡ cần ngay.,meal_plan,Lịch ăn giảm mỡ: Sáng: 2 lòng trắng trứng và khoai lang luộc. Trưa: Bún chùm ngây thịt nạc. Tối: Ức gà luộc xé phay. Bữa phụ: 1 quả táo. (Nhớ uống đủ 2 lít nước nhé!)
39,Ăn phở bò nhiều có tốt không?,nutrition_fact,"Chào bạn, theo dữ liệu thì món phở bò chứa khoảng 361 calo/100g."
40,làm cho cháu cái thực đơn giảm béo help me.,meal_plan,"Thực đơn diet hôm nay: Sáng: Salad ức gà nhỏ. Trưa: Tôm hấp, Miến dong và Rau cải. Tối: Súp rau củ thập cẩm. Bữa phụ: Hạt hạnh nhân. (Nhớ uống đủ 2 lít nước nhé!)"
41,"mẹ bỉm gầy quá, làm cho lịch ăn lên ký với.",meal_plan,Ăn thế này đảm bảo lên ký: Sáng: Xôi gà xá xíu. Trưa: Gà rán và Cơm rang dương châu. Tối: Cháo sườn sụn và Quẩy. Bữa phụ: Chuối và Bơ đậu phộng. (Nhớ uống đủ 2 lít nước nhé!)
42,"Vừa ăn chuối xong, sợ béo quá cứu tớ.",nutrition_fact,"Chào bạn, theo dữ liệu thì món chuối chứa khoảng 491 calo/100g."
43,lên giúp mình cái chế độ ăn eat clean nhanh giúp em.,meal_plan,"Thực đơn diet hôm nay: Sáng: Yến mạch ngâm sữa chua qua đêm. Trưa: Tôm hấp, Miến dong và Rau cải. Tối: Một đĩa rau muống luộc và 1 trứng kho. Bữa phụ: Hạt hạnh nhân. (Nhớ uống đủ 2 lít nước nhé!)"
44,"Đang giảm béo mà đói quá, lên giúp lịch ăn chống đói.",meal_plan,Thực đơn diet hôm nay: Sáng: 2 lòng trắng trứng và khoai lang luộc. Trưa: Bún chùm ngây thịt nạc. Tối: Một đĩa rau muống luộc và 1 trứng kho. Bữa phụ: Nước ép cần tây. (Nhớ uống đủ 2 lít nước nhé!)
45,"Đang giảm cân mà đói quá, gợi ý bữa ăn chống đói.",meal_plan,"Gợi ý Eat Clean cho bạn: Sáng: 2 lòng trắng trứng và khoai lang luộc. Trưa: Ức gà áp chảo, Cơm gạo lứt và Bông cải xanh. Tối: Salad cá ngừ ít sốt. Bữa phụ: Nước ép cần tây. (Nhớ uống đủ 2 lít nước nhé!)"
46,cần cháu cái thực đơn diet gấp gấp.,meal_plan,"Lịch ăn giảm mỡ: Sáng: Yến mạch ngâm sữa chua qua đêm. Trưa: Ức gà áp chảo, Cơm gạo lứt và Bông cải xanh. Tối: Súp rau củ thập cẩm. Bữa phụ: Nước ép cần tây. (Nhớ uống đủ 2 lít nước nhé!)"
47,Có lịch ăn nào giúp tăng cơ cấp tốc không admin?,meal_plan,Thực đơn xả cơ: Sáng: Bún bò huế đầy đủ. Trưa: Bò bít tết và Khoai tây chiên. Tối: Cơm cá thu sốt cà và Canh rau ngót thịt bằm. Bữa phụ: Sinh tố bơ sầu riêng. (Nhớ uống đủ 2 lít nước nhé!)
48,"Bố em bị tiểu đường, xin menu an toàn.",meal_plan,Chế độ ăn kiểm soát bệnh: Sáng: Bánh cuốn tráng mỏng ít nhân. Trưa: Thịt nạc luộc và Canh mướp đắng. Tối: Canh rau cải nấu thịt bằm. Bữa phụ: Sữa hạt không đường. (Nhớ uống đủ 2 lít nước nhé!)
49,Có menu nào giúp lên ký cấp tốc không admin?,meal_plan,Kế hoạch tăng cân: Sáng: Bánh mì ốp la 2 trứng và Sữa đậu nành. Trưa: Bò bít tết và Khoai tây chiên. Tối: Cháo sườn sụn và Quẩy. Bữa phụ: Bánh bông lan trứng muối. (Nhớ uống đủ 2 lít nước nhé!)
50,"Bố tôi bị tiểu đường, xin bữa ăn an toàn.",meal_plan,Thực đơn lành mạnh: Sáng: Súp lơ luộc và 1 trứng chần. Trưa: Cá hấp xì dầu và Rau luộc (nhiều rau). Tối: Canh rau cải nấu thịt bằm. Bữa phụ: Sữa hạt không đường. (Nhớ uống đủ 2 lít nước nhé!)
51,"Bố mẹ bỉm bị mỡ máu, xin bữa ăn an toàn.",meal_plan,Menu thanh đạm: Sáng: Bánh cuốn tráng mỏng ít nhân. Trưa: Đậu phụ sốt cà chua và Cơm lứt. Tối: Cá chép om dưa (bỏ mỡ). Bữa phụ: Sữa hạt không đường. (Nhớ uống đủ 2 lít nước nhé!)
52,"người mới gầy quá, làm cho menu tăng cân với.",meal_plan,Kế hoạch tăng cân: Sáng: Phở bò tái nạm trứng chần. Trưa: Bò bít tết và Khoai tây chiên. Tối: Mì xào bò rau cải. Bữa phụ: Sữa whey protein. (Nhớ uống đủ 2 lít nước nhé!)
53,"Bố anh bị mỡ máu, xin lịch ăn an toàn.",meal_plan,Gợi ý bữa ăn an toàn: Sáng: Phở gạo lứt ức gà. Trưa: Mực xào cần tây và 1/2 bát cơm. Tối: Salad dưa chuột cà chua. Bữa phụ: Sữa hạt không đường. (Nhớ uống đủ 2 lít nước nhé!)
54,tư vấn mình cái chế độ ăn giảm béo cần ngay.,meal_plan,"Lịch ăn giảm mỡ: Sáng: Yến mạch ngâm sữa chua qua đêm. Trưa: Tôm hấp, Miến dong và Rau cải. Tối: Salad cá ngừ ít sốt. Bữa phụ: Nước ép cần tây. (Nhớ uống đủ 2 lít nước nhé!)"
55,Cần tìm bữa ăn eat clean ít tốn kém sinh viên.,meal_plan,Lịch ăn giảm mỡ: Sáng: Salad ức gà nhỏ. Trưa: Bún chùm ngây thịt nạc. Tối: Canh bí xanh nấu tôm. Bữa phụ: 1 quả táo. (Nhớ uống đủ 2 lít nước nhé!)
56,"em gầy quá, gợi ý kế hoạch ăn uống tăng cân với.",meal_plan,Menu giàu năng lượng: Sáng: Bánh mì ốp la 2 trứng và Sữa đậu nành. Trưa: Cơm thịt kho tàu và Trứng luộc. Tối: Mì xào bò rau cải. Bữa phụ: Sữa whey protein. (Nhớ uống đủ 2 lít nước nhé!)
57,"Đang giảm cân mà đói quá, cần thực đơn chống đói.",meal_plan,Lịch ăn giảm mỡ: Sáng: Yến mạch ngâm sữa chua qua đêm. Trưa: Thịt bò xào ớt chuông và 1/2 chén cơm. Tối: Ức gà luộc xé phay. Bữa phụ: 1 hũ sữa chua không đường. (Nhớ uống đủ 2 lít nước nhé!)
58,chế độ ăn tăng cân cho người tập gym?,meal_plan,Thực đơn xả cơ: Sáng: Bánh mì ốp la 2 trứng và Sữa đậu nành. Trưa: Cơm sườn bì chả và Canh chua. Tối: Cơm cá thu sốt cà và Canh rau ngót thịt bằm. Bữa phụ: Sinh tố bơ sầu riêng. (Nhớ uống đủ 2 lít nước nhé!)
59,"bot ơi, anh muốn giảm béo, ăn uống thế nào?",meal_plan,"Menu ít calo tham khảo: Sáng: Yến mạch ngâm sữa chua qua đêm. Trưa: Cá hồi nướng, Quinoa và Salad. Tối: Ức gà luộc xé phay. Bữa phụ: 1 hũ sữa chua không đường. (Nhớ uống đủ 2 lít nước nhé!)"
60,Uống nước nhiều có tốt không chuyên gia?,general_questions,"Vấn đề này rất tốt cho sức khỏe, bạn nên duy trì thói quen nhé."
61,Chỉ mình cách ăn để giảm béo trong 1 tuần.,meal_plan,Thực đơn diet hôm nay: Sáng: Salad ức gà nhỏ. Trưa: Bún chùm ngây thịt nạc. Tối: Ức gà luộc xé phay. Bữa phụ: Nước ép cần tây. (Nhớ uống đủ 2 lít nước nhé!)
62,Chỉ mẹ bỉm cách ăn để giảm cân trong 1 tuần.,meal_plan,"Thực đơn diet hôm nay: Sáng: Yến mạch ngâm sữa chua qua đêm. Trưa: Tôm hấp, Miến dong và Rau cải. Tối: Một đĩa rau muống luộc và 1 trứng kho. Bữa phụ: Nước ép cần tây. (Nhớ uống đủ 2 lít nước nhé!)"
63,cho xin tớ cái chế độ ăn giảm cân cứu với.,meal_plan,"Thực đơn diet hôm nay: Sáng: Sinh tố bơ chuối ít đường. Trưa: Cá hồi nướng, Quinoa và Salad. Tối: Một đĩa rau muống luộc và 1 trứng kho. Bữa phụ: 1 quả táo. (Nhớ uống đủ 2 lít nước nhé!)"
64,lịch ăn xuống ký cho dân văn phòng lười nấu?,meal_plan,Lịch ăn giảm mỡ: Sáng: Yến mạch ngâm sữa chua qua đêm. Trưa: Thịt bò xào ớt chuông và 1/2 chén cơm. Tối: Một đĩa rau muống luộc và 1 trứng kho. Bữa phụ: Nước ép cần tây. (Nhớ uống đủ 2 lít nước nhé!)
65,"bot ơi, mình muốn eat clean, ăn uống thế nào?",meal_plan,"Menu ít calo tham khảo: Sáng: Salad ức gà nhỏ. Trưa: Ức gà áp chảo, Cơm gạo lứt và Bông cải xanh. Tối: Một đĩa rau muống luộc và 1 trứng kho. Bữa phụ: Hạt hạnh nhân. (Nhớ uống đủ 2 lít nước nhé!)"
66,"Đang giảm béo mà đói quá, lên giúp thực đơn chống đói.",meal_plan,"Thực đơn diet hôm nay: Sáng: Sinh tố bơ chuối ít đường. Trưa: Tôm hấp, Miến dong và Rau cải. Tối: Một đĩa rau muống luộc và 1 trứng kho. Bữa phụ: Nước ép cần tây. (Nhớ uống đủ 2 lít nước nhé!)"
67,"tớ gầy quá, cho xin kế hoạch ăn uống thoát gầy với.",meal_plan,Thực đơn xả cơ: Sáng: Xôi gà xá xíu. Trưa: Cơm thịt kho tàu và Trứng luộc. Tối: Cháo sườn sụn và Quẩy. Bữa phụ: Sinh tố bơ sầu riêng. (Nhớ uống đủ 2 lít nước nhé!)
68,Lên lịch ăn uống để tăng cơ đón Tết giúp em.,meal_plan,Ăn thế này đảm bảo lên ký: Sáng: Phở bò tái nạm trứng chần. Trưa: Bò bít tết và Khoai tây chiên. Tối: Mì xào bò rau cải. Bữa phụ: Chuối và Bơ đậu phộng. (Nhớ uống đủ 2 lít nước nhé!)
69,gạo lứt bao nhiêu calo thế admin?,nutrition_fact,"Chào bạn, theo dữ liệu thì món gạo lứt chứa khoảng 515 calo/100g."
70,Có menu nào giúp béo lên cấp tốc không ad?,meal_plan,Kế hoạch tăng cân: Sáng: Phở bò tái nạm trứng chần. Trưa: Cơm thịt kho tàu và Trứng luộc. Tối: Lẩu thái hải sản (ăn tại nhà). Bữa phụ: Sữa whey protein. (Nhớ uống đủ 2 lít nước nhé!)
71,"Đang siết mỡ mà đói quá, gợi ý menu chống đói.",meal_plan,Gợi ý Eat Clean cho bạn: Sáng: 2 lòng trắng trứng và khoai lang luộc. Trưa: Thịt bò xào ớt chuông và 1/2 chén cơm. Tối: Salad cá ngừ ít sốt. Bữa phụ: 1 hũ sữa chua không đường. (Nhớ uống đủ 2 lít nước nhé!)
72,"admin ơi, em muốn giảm cân, ăn uống thế nào?",meal_plan,Lịch ăn giảm mỡ: Sáng: Sinh tố bơ chuối ít đường. Trưa: Thịt bò xào ớt chuông và 1/2 chén cơm. Tối: Salad cá ngừ ít sốt. Bữa phụ: 1 hũ sữa chua không đường. (Nhớ uống đủ 2 lít nước nhé!)
73,"Bố em bị gout, xin bữa ăn an toàn.",meal_plan,Chế độ ăn kiểm soát bệnh: Sáng: Súp lơ luộc và 1 trứng chần. Trưa: Đậu phụ sốt cà chua và Cơm lứt. Tối: Salad dưa chuột cà chua. Bữa phụ: Củ đậu. (Nhớ uống đủ 2 lít nước nhé!)
74,cần tớ cái kế hoạch ăn uống siết mỡ cứu với.,meal_plan,Lịch ăn giảm mỡ: Sáng: 1 quả trứng luộc và 1 lát bánh mì đen. Trưa: Bún chùm ngây thịt nạc. Tối: Một đĩa rau muống luộc và 1 trứng kho. Bữa phụ: Hạt hạnh nhân. (Nhớ uống đủ 2 lít nước nhé!)
75,"bác sĩ ơi, chị muốn eat clean, ăn uống thế nào?",meal_plan,"Lịch ăn giảm mỡ: Sáng: Sinh tố bơ chuối ít đường. Trưa: Ức gà áp chảo, Cơm gạo lứt và Bông cải xanh. Tối: Salad cá ngừ ít sốt. Bữa phụ: 1 quả táo. (Nhớ uống đủ 2 lít nước nhé!)"
76,Check calo món cà phê giùm anh.,nutrition_fact,"Chào bạn, theo dữ liệu thì món cà phê chứa khoảng 157 calo/100g."
77,Cần tìm bữa ăn siết mỡ ít tốn kém sinh viên.,meal_plan,Menu ít calo tham khảo: Sáng: 2 lòng trắng trứng và khoai lang luộc. Trưa: Bún chùm ngây thịt nạc. Tối: Salad cá ngừ ít sốt. Bữa phụ: Hạt hạnh nhân. (Nhớ uống đủ 2 lít nước nhé!)
78,"trợ lý ơi, cháu muốn giảm cân, ăn uống thế nào?",meal_plan,Menu ít calo tham khảo: Sáng: Salad ức gà nhỏ. Trưa: Bún chùm ngây thịt nạc. Tối: Ức gà luộc xé phay. Bữa phụ: Nước ép cần tây. (Nhớ uống đủ 2 lít nước nhé!)
79,Có chế độ ăn nào giúp tăng cơ cấp tốc không shop?,meal_plan,Thực đơn xả cơ: Sáng: Xôi gà xá xíu. Trưa: Cơm sườn bì chả và Canh chua. Tối: Cháo sườn sụn và Quẩy. Bữa phụ: Bánh bông lan trứng muối. (Nhớ uống đủ 2 lít nước nhé!)
80,kế hoạch ăn uống béo lên cho người tập gym?,meal_plan,Ăn thế này đảm bảo lên ký: Sáng: Bún bò huế đầy đủ. Trưa: Cơm thịt kho tàu và Trứng luộc. Tối: Mì xào bò rau cải. Bữa phụ: Sữa whey protein. (Nhớ uống đủ 2 lít nước nhé!)
81,"Đang giảm cân mà đói quá, tư vấn bữa ăn chống đói.",meal_plan,"Lịch ăn giảm mỡ: Sáng: Yến mạch ngâm sữa chua qua đêm. Trưa: Cá hồi nướng, Quinoa và Salad. Tối: Một đĩa rau muống luộc và 1 trứng kho. Bữa phụ: 1 quả táo. (Nhớ uống đủ 2 lít nước nhé!)"
82,"chuyên gia ơi, chị muốn diet, ăn uống thế nào?",meal_plan,"Gợi ý Eat Clean cho bạn: Sáng: Salad ức gà nhỏ. Trưa: Tôm hấp, Miến dong và Rau cải. Tối: Salad cá ngừ ít sốt. Bữa phụ: 1 hũ sữa chua không đường. (Nhớ uống đủ 2 lít nước nhé!)"
83,"Vừa ăn bún riêu xong, sợ béo quá cứu em.",nutrition_fact,"Chào bạn, theo dữ liệu thì món bún riêu chứa khoảng 431 calo/100g."
84,Có thực đơn nào giúp tăng cân cấp tốc không bác sĩ?,meal_plan,Ăn thế này đảm bảo lên ký: Sáng: Bún bò huế đầy đủ. Trưa: Gà rán và Cơm rang dương châu. Tối: Cháo sườn sụn và Quẩy. Bữa phụ: Bánh bông lan trứng muối. (Nhớ uống đủ 2 lít nước nhé!)
85,Sáng trưa tối ăn gì để xuống ký hiệu quả?,meal_plan,"Lịch ăn giảm mỡ: Sáng: 2 lòng trắng trứng và khoai lang luộc. Trưa: Ức gà áp chảo, Cơm gạo lứt và Bông cải xanh. Tối: Một đĩa rau muống luộc và 1 trứng kho. Bữa phụ: 1 hũ sữa chua không đường. (Nhớ uống đủ 2 lít nước nhé!)"
86,Làm sao để xuống ký nhanh? Cho xin chế độ ăn mẫu.,meal_plan,"Gợi ý Eat Clean cho bạn: Sáng: Sinh tố bơ chuối ít đường. Trưa: Cá hồi nướng, Quinoa và Salad. Tối: Súp rau củ thập cẩm. Bữa phụ: Nước ép cần tây. (Nhớ uống đủ 2 lít nước nhé!)"
87,"người mới gầy quá, làm cho thực đơn thoát gầy với.",meal_plan,Ăn thế này đảm bảo lên ký: Sáng: Bánh mì ốp la 2 trứng và Sữa đậu nành. Trưa: Cơm thịt kho tàu và Trứng luộc. Tối: Cháo sườn sụn và Quẩy. Bữa phụ: Chuối và Bơ đậu phộng. (Nhớ uống đủ 2 lít nước nhé!)
88,cho xin tôi cái bữa ăn giảm cân nhanh giúp em.,meal_plan,"Gợi ý Eat Clean cho bạn: Sáng: 1 quả trứng luộc và 1 lát bánh mì đen. Trưa: Ức gà áp chảo, Cơm gạo lứt và Bông cải xanh. Tối: Ức gà luộc xé phay. Bữa phụ: 1 quả táo. (Nhớ uống đủ 2 lít nước nhé!)"
