User_ID,Food_Item,Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Cholesterol_mg,Meal_Type,Water_Intake_ml,Food_norm
14,Nước,Beverages,570,39.6,83.5,16.8,8.0,44.6,602,159,Bữa trưa,228,nuoc
733,Quả táo,Fruits,521,18.6,46.2,36.0,3.6,27.6,613,127,Bữa trưa,193,qua tao
993,Quinoa,Grains,481,29.2,12.5,9.7,7.6,34.5,42,120,Bữa tối,251,quinoa
710,Hạt,Snack,369,38.2,16.8,4.1,6.9,4.1,70,165,Bữa tối,686,hat
608,Da ua,Dairy,568,2.3,11.8,16.2,5.0,22.7,90,213,Bữa tối,353,da ua
60,Da ua,Dairy,172,6.9,25.7,29.1,7.2,45.5,509,198,Bữa trưa,100,da ua
594,Rau chân vịt,Vegetables,201,41.0,12.7,47.1,0.8,19.1,115,220,Bữa phụ,558,rau chan vit
593,Trà xanh,Beverages,404,12.1,33.3,4.5,6.4,20.4,127,162,Bữa sáng,187,tra xanh
678,Sôcôla,Snack,531,20.0,12.3,30.3,9.9,38.1,194,138,Bữa sáng,906,socola
975,Rau chân vịt,Vegetables,115,8.7,6.7,35.1,4.7,26.0,261,85,Bữa trưa,538,rau chan vit
864,Cá hồi,Meat,59,36.3,13.9,26.9,5.7,8.8,916,64,Bữa sáng,269,ca hoi
365,Bỏng ngô,Snack,481,38.6,36.8,12.2,8.1,22.2,263,125,Bữa trưa,829,bong ngo
416,Sữa lắc,Beverages,328,6.8,85.3,17.0,8.1,40.8,607,171,Bữa phụ,182,sua lac
484,Chuối,Fruits,358,27.3,37.5,16.7,0.3,47.1,703,98,Bữa trưa,811,chuoi
303,Trứng,Meat,530,43.6,18.1,10.5,7.1,1.0,26,255,Bữa trưa,629,trung
146,Trứng,Meat,95,37.2,81.9,20.7,6.1,19.8,722,275,Bữa phụ,219,trung
424,Sôcôla,Snack,384,7.1,96.4,40.0,6.5,20.2,734,1,Bữa trưa,144,socola
157,Sữa lắc,Beverages,103,30.2,70.8,42.0,4.6,8.4,6,222,Bữa sáng,721,sua lac
565,Cà rốt,Vegetables,289,14.0,52.9,17.1,2.9,6.5,53,98,Bữa phụ,839,ca rot
191,Sôcôla,Snack,551,35.6,13.8,4.0,8.2,21.5,134,288,Bữa phụ,186,socola
641,Yến mạch,Grains,497,18.0,70.8,42.8,9.5,30.5,665,7,Bữa phụ,848,yen mach
451,Sữa lắc,Beverages,414,22.0,67.8,8.4,2.2,2.2,648,159,Bữa tối,899,sua lac
780,Rau chân vịt,Vegetables,205,1.1,10.5,28.1,6.4,21.8,937,44,Bữa tối,528,rau chan vit
235,Cá hồi,Meat,574,20.4,92.9,35.0,3.9,44.0,49,32,Bữa sáng,246,ca hoi
758,Hạt,Snack,433,40.5,34.5,28.7,8.3,44.0,957,280,Bữa tối,802,hat
288,Chuối,Fruits,546,12.3,52.9,37.8,9.2,24.2,183,137,Bữa sáng,421,chuoi
804,Nước,Beverages,410,16.9,15.1,4.0,7.5,9.2,10,57,Bữa sáng,888,nuoc
215,Quả táo,Fruits,79,18.1,74.7,19.7,0.2,46.6,270,36,Bữa tối,671,qua tao
665,Cà chua,Vegetables,500,18.8,10.5,18.6,7.9,2.5,966,282,Bữa sáng,894,ca chua
38,Quả nho,Fruits,425,25.3,83.8,7.4,8.6,25.1,206,48,Bữa tối,233,qua nho
111,Cookie,Snack,113,21.4,27.1,29.3,5.1,47.2,304,163,Bữa sáng,132,cookie
92,Sôcôla,Snack,185,2.4,71.1,34.1,3.1,41.3,250,121,Bữa sáng,875,socola
811,Nước,Beverages,559,26.3,63.2,33.1,4.1,5.6,502,154,Bữa sáng,880,nuoc
472,Trứng,Meat,482,37.1,27.2,11.9,7.7,22.0,173,234,Bữa sáng,901,trung
157,Cookie,Snack,542,16.6,42.3,28.8,2.2,28.3,700,99,Bữa phụ,768,cookie
446,Cà rốt,Vegetables,300,9.5,61.5,19.0,10.0,3.2,829,190,Bữa trưa,291,ca rot
178,Bơ,Dairy,485,26.2,34.1,17.9,0.7,12.5,399,286,Bữa sáng,804,bo
993,Nước cam,Beverages,71,6.7,90.0,31.2,2.6,22.0,372,22,Bữa tối,672,nuoc cam
429,Khoai tây,Vegetables,181,43.1,87.1,38.2,2.7,18.4,76,266,Bữa sáng,669,khoai tay
78,Thịt lợn Chop,Meat,330,20.2,83.1,49.8,6.9,27.9,836,134,Bữa phụ,203,thit lon chop
813,Sôcôla,Snack,249,11.4,13.3,28.6,1.7,1.7,535,269,Bữa trưa,300,socola
795,Rau chân vịt,Vegetables,224,41.5,78.3,24.6,6.9,17.7,70,126,Bữa phụ,189,rau chan vit
194,Cà phê,Beverages,246,15.1,97.7,27.5,2.1,28.2,367,261,Bữa tối,388,ca phe
885,Thịt bò bít tết,Meat,499,26.9,25.2,26.7,7.1,21.0,645,40,Bữa trưa,610,thit bo bit tet
3,Paneer,Dairy,194,6.2,80.8,32.6,8.9,21.6,334,41,Bữa tối,297,paneer
780,Sữa,Dairy,194,17.4,59.6,46.6,6.1,24.0,50,202,Bữa trưa,323,sua
65,Cá hồi,Meat,200,21.8,28.4,34.2,5.2,20.9,511,157,Bữa tối,393,ca hoi
849,Cơm,Grains,244,10.6,74.4,34.2,0.1,41.5,668,170,Bữa phụ,570,com
499,Paneer,Dairy,185,22.3,10.4,17.3,6.9,1.7,993,121,Bữa sáng,567,paneer
715,Quả dâu,Fruits,219,25.9,65.9,17.3,7.3,14.9,576,290,Bữa trưa,489,qua dau
645,Cá hồi,Meat,403,8.8,78.3,5.7,4.9,38.6,60,239,Bữa phụ,913,ca hoi
191,Quả nho,Fruits,214,10.9,86.3,2.6,1.4,40.3,977,177,Bữa sáng,603,qua nho
490,Quả táo,Fruits,190,16.4,92.3,47.8,3.8,2.9,870,80,Bữa sáng,958,qua tao
949,Cookie,Snack,157,21.7,10.6,33.8,8.2,0.9,822,85,Bữa sáng,806,cookie
542,Sữa lắc,Beverages,550,49.2,88.3,12.2,0.1,32.3,69,1,Bữa trưa,192,sua lac
222,Sữa lắc,Beverages,319,32.4,86.4,46.9,5.5,17.4,601,189,Bữa phụ,570,sua lac
460,Bỏng ngô,Snack,68,45.2,73.9,13.9,0.5,28.8,275,242,Bữa tối,617,bong ngo
602,Chuối,Fruits,519,5.9,45.5,41.7,7.8,9.0,319,283,Bữa trưa,971,chuoi
442,Cà rốt,Vegetables,570,39.2,35.6,13.0,4.3,0.6,539,59,Bữa tối,317,ca rot
336,Cookie,Snack,406,30.3,95.8,42.4,2.6,44.0,752,286,Bữa sáng,250,cookie
335,Nước cam,Beverages,589,11.2,16.5,43.0,9.4,15.6,758,177,Bữa tối,449,nuoc cam
998,Quả cam,Fruits,60,34.9,9.3,22.7,7.3,27.8,192,69,Bữa sáng,560,qua cam
244,Trà xanh,Beverages,532,16.0,25.4,40.8,4.5,49.4,505,191,Bữa tối,742,tra xanh
253,Quả táo,Fruits,458,36.9,94.6,5.7,7.6,29.9,498,246,Bữa phụ,612,qua tao
431,Khoai tây,Vegetables,377,49.9,42.9,33.6,7.7,15.7,108,35,Bữa tối,360,khoai tay
496,Thịt lợn Chop,Meat,563,9.5,18.2,16.6,6.7,25.6,108,174,Bữa sáng,615,thit lon chop
695,Bỏng ngô,Snack,204,49.6,75.5,22.6,9.9,7.6,620,85,Bữa sáng,746,bong ngo
775,Quả cam,Fruits,218,37.1,98.1,18.2,1.3,18.7,97,120,Bữa tối,557,qua cam
140,Sôcôla,Snack,369,33.1,16.9,5.7,5.6,18.3,517,260,Bữa trưa,548,socola
42,Bông cải xanh,Vegetables,463,44.9,6.3,33.4,6.7,26.5,987,170,Bữa phụ,263,bong cai xanh
469,Sữa,Dairy,487,16.8,17.6,32.3,7.2,36.3,661,110,Bữa sáng,925,sua
723,Ức gà,Meat,84,30.6,38.8,15.5,5.3,14.6,110,4,Bữa trưa,874,uc ga
593,Da ua,Dairy,156,1.0,83.5,16.8,1.7,16.6,331,100,Bữa phụ,515,da ua
469,Hạt,Snack,202,11.9,23.5,28.3,4.4,49.5,559,185,Bữa phụ,835,hat
328,Cookie,Snack,558,40.3,45.0,15.8,6.2,20.7,608,239,Bữa tối,971,cookie
913,Cà rốt,Vegetables,499,42.8,65.0,1.6,9.3,45.3,871,56,Bữa trưa,688,ca rot
191,Cà phê,Beverages,519,28.6,52.9,43.1,1.7,20.3,922,222,Bữa tối,825,ca phe
318,Chip,Snack,235,29.0,85.4,26.3,7.3,47.9,257,278,Bữa phụ,308,chip
448,Bơ,Dairy,295,34.1,27.1,42.6,7.8,49.9,178,239,Bữa phụ,172,bo
321,Quinoa,Grains,323,25.0,94.3,31.2,5.3,13.3,447,32,Bữa phụ,350,quinoa
252,Sôcôla,Snack,245,46.1,9.8,48.3,3.2,19.3,0,221,Bữa trưa,399,socola
150,Nước cam,Beverages,407,15.5,86.6,31.3,0.7,26.4,782,16,Bữa tối,655,nuoc cam
126,Ức gà,Meat,485,47.9,16.0,24.1,4.8,38.4,743,260,Bữa sáng,618,uc ga
359,Yến mạch,Grains,427,25.1,40.9,1.4,9.8,6.8,670,213,Bữa sáng,223,yen mach
518,Cá hồi,Meat,277,15.7,8.9,45.6,6.4,34.1,617,101,Bữa sáng,260,ca hoi
943,Cà rốt,Vegetables,493,31.6,59.5,34.0,4.9,8.6,499,90,Bữa sáng,324,ca rot
338,Cookie,Snack,338,5.4,99.3,23.2,5.2,32.1,733,27,Bữa sáng,150,cookie
481,Cà chua,Vegetables,574,14.9,51.5,29.4,6.8,43.8,266,233,Bữa tối,563,ca chua
405,Cà chua,Vegetables,514,14.9,93.4,20.3,7.1,17.1,11,293,Bữa trưa,160,ca chua
496,Cá hồi,Meat,62,5.7,50.0,37.8,8.3,35.3,202,158,Bữa phụ,551,ca hoi
162,Quả táo,Fruits,196,7.7,23.9,26.9,5.6,26.3,647,184,Bữa sáng,820,qua tao
522,Bông cải xanh,Vegetables,92,45.0,37.3,17.3,9.5,36.5,169,296,Bữa trưa,873,bong cai xanh
453,Sôcôla,Snack,326,47.2,71.9,9.2,6.0,19.6,758,2,Bữa trưa,728,socola
956,Quả táo,Fruits,417,46.8,31.9,27.1,7.6,40.3,583,135,Bữa tối,101,qua tao
196,Sữa lắc,Beverages,465,32.7,23.0,3.4,9.0,31.8,661,280,Bữa phụ,401,sua lac
548,Quinoa,Grains,410,27.7,75.2,7.6,1.6,49.2,747,235,Bữa tối,104,quinoa
