Bữa sáng,Bữa phụ,Bữa trưa,Bữa tối,Chế độ ăn,Táo bón,Béo phì,Tim mạch,Mỡ trong máu,Huyết áp,Thiếu máu,Thiếu kẽm,Thiếu canxi,Suy dinh dưỡng,Tiểu đường,Tình trạng sức khỏe,Mục tiêu
Sữa ngũ cốc ,Dưa gang,Miến gà; Salad trộn ít dầu; Canh cá nấu rau,Cơm sườn nướng mật ong; Rau luộc,Không chay,0,0,1,0,1,0,0,1,1,1,"Tim mạch, Huyết áp, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bắp luộc,Dâu tây,Đậu hũ sốt cà chua; Bánh mì; Salad trộn ít dầu,Cơm chiên dương châu; Cải thìa xào; Trứng luộc,Không chay,0,0,0,0,0,0,0,0,1,0,Suy dinh dưỡng,"Tăng cân, bổ sung năng lượng và đạm"
Yogurt chuối và nho kho + chuối,Chè hạt sen táo đỏ,Cơm rang dưa bò; Canh bí đỏ; Dưa góp,Bún thang; Tôm nướng; Rau luộc,Không chay,0,1,1,1,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh mỳ nướng bơ tói,Bưởi,Chân giò hầm hạt sen; Cơm trắng; Cá hấp,Cháo gà; Canh rau ngót; Khoai lang nhỏ,Không chay,0,0,1,0,0,1,0,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sinh tố bơ , Sữa chua parfait hoa quả,Súp gà nấm đông cô; Khoai lang; Rau củ luộc,Bún thang; Trứng luộc; Rau củ luộc,Không chay,0,0,1,0,0,1,0,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh mỳ nướng bơ tói ốp la, Sữa chua parfait hoa quả,Bánh ướt chả lụa; Tôm nướng; Rau luộc,Phở bò; Cải thìa xào; Cơm trắng ít,Không chay,1,1,0,0,0,1,0,0,0,0,"Táo bón, Béo phì, Thiếu máu","Tăng chất xơ, uống đủ nước, Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung sắt, tăng cường máu"
Bánh chuối nướng ngũ cốc,Dưa gang,Cháo sườn; Canh rau ngót; Canh cá nấu rau,Lòng non xào dưa chua; Trứng luộc,Không chay,0,0,1,0,0,1,0,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + dâu,Chè đậu xanh nha đam,Cháo gà; Canh rau ngót; Canh chua,Cơm rang dưa bò; Salad trộn ít dầu,Không chay,0,0,1,0,1,0,0,1,1,1,"Tim mạch, Huyết áp, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua thực vật + trái cây,Sâm bổ lượng,Sườn chay cà rim cay tê tê; Rau củ luộc; Canh bí đỏ,Canh rau diếp nấu nấm (món chay); Canh rau ngót,chay,0,0,0,0,0,0,0,1,1,0,"Suy dinh dưỡng, Thiếu canxi","Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Sinh tố bơ ,Sữa chua Hy Lạp,Bánh pancake mật ong; Đậu phụ sốt; Canh rau ngót,Bánh chuối chiên; Rau muống xào tỏi; Cá hấp,Không chay,0,0,0,0,0,0,0,1,1,0,"Suy dinh dưỡng, Thiếu canxi","Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Trứng tráng nấm,Sữa chua Hy Lạp ,Canh rau ngót thịt băm chay; Miến; Kim chi ít cay,Cơm ba chỉ kho tàu; Canh rau ngót; Cá hấp,Không chay,0,0,0,0,0,1,0,1,1,0,"Thiếu máu, Suy dinh dưỡng, Thiếu canxi","Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Bắp luộc,kiwi,Xôi lá cẩm; Bò xào nhẹ; Rau muống xào tỏi,Cháo lòng; Ức gà áp chảo; Cải thìa xào,Không chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bắp luộc,Hạt hạnh nhân,Cơm rang dưa bò; Canh mồng tơi; Dưa góp,Bánh căn Đà Lạt; Cá hấp; Cải thìa xào,Không chay,0,1,0,0,0,0,1,0,0,0,"Béo phì, Thiếu kẽm","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung kẽm và đạm"
Sinh tố bơ ,Chè hạt sen táo đỏ,Cơm chiên dương châu; Ức gà áp chảo; Salad trộn ít dầu,Canh đậu hũ non hải sản; Bò xào nhẹ,Không chay,0,0,1,0,0,0,1,0,1,1,"Tim mạch, Suy dinh dưỡng, Thiếu kẽm, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh mỳ nướng bơ tói,Bánh trứng khoai lang ,Thịt ba chỉ luộc chấm mắm tép; Cơm trắng; Canh chua,Gà hấp muối; Cải thìa xào,Không chay,1,0,1,0,0,0,0,0,1,1,"Táo bón, Tim mạch, Suy dinh dưỡng, Tiểu đường","Tăng chất xơ, uống đủ nước, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh kếp yến mạch,Bưởi,Canh khoai mỡ tôm tươi; Bún; Dưa góp,Gà hấp muối; Rau luộc,Không chay,0,1,0,0,0,0,0,0,0,0,Béo phì,"Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu"
Sữa chua Hy Lạp +kiwi,kiwi,Sandwich cá ngừ; Phở; Cải thìa xào,Trứng hấp Hàn Quốc; Cải thìa xào,Không chay,0,0,0,0,0,0,0,1,1,0,"Suy dinh dưỡng, Thiếu canxi","Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Sữa ngũ cốc ,Chè hạt sen táo đỏ,Chân giò hầm hạt sen; Miến; Trứng luộc,Miến lươn; Tôm nướng; Rau củ luộc,Không chay,0,0,1,0,0,1,0,1,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Nước ép táo + bánh crepe chuối,Chè hạt sen táo đỏ,Chả lá lốt hấp; Bánh mì; Đậu phụ sốt,Cá lóc hấp bầu; Rau luộc,Không chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh kếp yến mạch,Sinh tố bơ ,Bánh khọt Vũng Tàu; Cá hấp; Rau muống xào tỏi,Súp gà nấm đông cô; Rau luộc,Không chay,0,0,1,1,1,0,0,0,1,1,"Tim mạch, Huyết áp, Rối loạn mỡ máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh mì đen + trứng ốp la,Sinh tố bơ ,Phở bò; Cải thìa xào; Canh bí đỏ,Thịt ba chỉ luộc chấm mắm tép; Rau muống xào tỏi,Không chay,0,0,1,0,0,1,1,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Thiếu kẽm, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Trứng tráng nấm,Nước ép cam + bánh crepe Bưởi,Bánh bông lan trứng muối; Rau luộc; Canh chua,Cơm gà Hội An; Rau muống xào tỏi,Không chay,1,0,1,0,0,1,0,0,1,1,"Táo bón, Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Tăng chất xơ, uống đủ nước, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bắp luộc ốp la,Nước ép cam + bánh crepe chuối,Chả lá lốt hấp; Khoai lang; Cá hấp,Đậu bắp luộc chấm mắm ruốc; Canh rau ngót,Không chay,0,0,0,0,0,1,0,1,1,0,"Thiếu máu, Suy dinh dưỡng, Thiếu canxi","Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Bắp luộc + sữa hạt,Chè bột lọc hoa đậu biết,Bánh tiêu nhân đậu xanh; Cải thìa xào; Canh bí đỏ,Cháo lòng; Trứng luộc; Rau luộc,Không chay,0,1,1,0,0,1,0,0,0,1,"Béo phì, Tim mạch, Thiếu máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bắp luộc ốp la,Dưa gang,Bánh ướt chả lụa; Bò xào nhẹ; Salad trộn ít dầu,Bánh pancake mật ong; Cá hấp; Rau củ luộc,Không chay,0,0,1,0,1,1,0,0,1,1,"Tim mạch, Huyết áp, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bún xào rau củ,Sâm bổ lượng,CHẢ lạnh chay; Sườn non chay chiên ngũ vị; Rau muống xào tỏi,Nấm Lộc Nhung Xào Cải Rổ Chay; Canh Bông Hẹ Đậu Hũ (Món Chay); Rau luộc,chay,1,1,0,0,0,0,0,0,0,0,"Táo bón, Béo phì","Tăng chất xơ, uống đủ nước, Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu"
Sinh tố bơ ,Chè hạt sen táo đỏ,Trứng hấp Hàn Quốc; Bánh mì; Rau luộc,Bánh khoai mì nướng; Rau luộc; Cá hấp,Không chay,0,0,1,0,0,1,0,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bún xào rau củ,Sâm bổ lượng,Bánh xèo nấm chay; Phở Sắn Trộn Chay; Cải thìa xào,Mì Chũ hấp/luộc Rau Củ Chay (Vegan); Khoai Tây Chiên Kho Cà Chua Chay; Rau muống xào tỏi,chay,0,1,0,0,0,1,0,1,0,0,"Béo phì, Thiếu máu, Thiếu canxi","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung sắt, tăng cường máu, Bổ sung canxi và vitamin D"
Bắp luộc + sữa hạt,Dưa gang,Bánh xèo miền Trung; Cá hấp; Rau luộc,Gà hấp/luộc sả ớt; Ức gà áp chảo,Không chay,0,0,1,0,0,0,0,0,1,1,"Tim mạch, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bắp luộc,Bánh lá nước cốt dừa,Bánh cuốn nhân thịt; Rau muống xào tỏi; Canh bí đỏ,Xôi mặn; Salad trộn ít dầu; Tôm nướng,Không chay,0,1,1,0,1,1,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Thiếu máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp +kiwi,kiwi,Rau muống xào tỏi; Phở; Bò xào nhẹ,Bánh xèo miền Tây; Ức gà áp chảo; Rau muống xào tỏi,Không chay,0,1,1,0,0,0,0,1,0,1,"Béo phì, Tim mạch, Thiếu canxi, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa ngũ cốc ,Sữa chua Hy Lạp,Bánh cuốn nhân thịt; Cải thìa xào; Canh chua,Cơm sườn nướng mật ong; Canh rau ngót,Không chay,0,0,0,0,0,0,0,1,0,0,Thiếu canxi,Bổ sung canxi và vitamin D
Bắp luộc,Chuối,Canh gà lá giang; Khoai lang; Dưa góp,Bánh xèo miền Trung; Cá hấp; Rau luộc,Không chay,0,0,1,0,0,1,0,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bơ nướng trứng,Chè hạt sen táo đỏ,Miến gà; Rau củ luộc; Canh bí đỏ,Bánh bèo Huế; Ức gà áp chảo; Cải thìa xào,Không chay,0,1,1,0,0,1,0,0,0,1,"Béo phì, Tim mạch, Thiếu máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh kếp yến mạch,Bánh lá nước cốt dừa,Bánh bông lan trứng muối; Cải thìa xào; Canh chua,Bún chả cá; Cải thìa xào; Bánh mì nhỏ,Không chay,0,1,0,1,0,1,0,0,0,0,"Béo phì, Rối loạn mỡ máu, Thiếu máu","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung sắt, tăng cường máu"
Bơ nướng trứng,Chuối chiên,Bánh rán Doraemon; Cá hấp; Rau củ luộc,Bún chả cá; Rau luộc,Không chay,1,0,0,0,0,1,0,0,1,0,"Táo bón, Thiếu máu, Suy dinh dưỡng","Tăng chất xơ, uống đủ nước, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm"
Bắp luộc,Bánh trứng khoai lang ,Bánh khoai mì nướng; Tôm nướng; Canh rau ngót,Bánh xèo miền Trung; Cá hấp; Rau muống xào tỏi,Không chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh kếp yến mạch,Chuối,Bánh rán Doraemon; Đậu phụ sốt; Rau muống xào tỏi,Cá lóc hấp bầu; Salad trộn ít dầu,Không chay,0,1,1,1,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh chuối nướng ngũ cốc,Chè hạt sen táo đỏ,Xôi lá cẩm; Cá hấp; Salad trộn ít dầu,Bánh chuối chiên; Salad trộn ít dầu; Đậu phụ hấp,Không chay,0,0,1,0,0,1,0,1,0,0,"Tim mạch, Thiếu máu, Thiếu canxi","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Bổ sung canxi và vitamin D"
Trứng chần trên bánh mì nướng bơ,Chè đậu xanh nha đam,Đậu bắp luộc chấm mắm ruốc; Bún; Canh cá nấu rau,Bánh pancake mật ong; Tôm nướng; Rau muống xào tỏi,Không chay,1,1,0,0,0,1,0,0,0,0,"Táo bón, Béo phì, Thiếu máu","Tăng chất xơ, uống đủ nước, Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung sắt, tăng cường máu"
Sữa chua Hy Lạp + dâu,Chè đậu xanh nha đam,Cơm ba chỉ kho tàu; Đậu phụ sốt; Salad trộn ít dầu,Cơm chiên hải sản; Rau luộc,Không chay,0,0,0,0,1,0,0,1,0,0,"Huyết áp, Thiếu canxi","Giảm muối, ổn định huyết áp, Bổ sung canxi và vitamin D"
Yến mạch + cacao chuối,Chè vải hạt sen,Canh đậu hũ non hải sản; Phở; Trái cây ít đường,Canh măng nấu vịt; Ức gà áp chảo,Không chay,0,0,1,0,0,0,1,0,0,1,"Tim mạch, Thiếu kẽm, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + dâu,Chè vải hạt sen,Súp cua trứng bắc thảo; Phở; Salad trộn ít dầu,Hủ tiếu Mỹ Tho; Ức gà áp chảo; Rau củ luộc,Không chay,0,0,1,0,1,1,0,1,1,1,"Tim mạch, Huyết áp, Thiếu máu, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sinh tố bơ ,Chè hạt sen táo đỏ,Cơm chiên hải sản; Salad trộn ít dầu; Canh cá nấu rau,Bún riêu cua; Cá hấp; Rau muống xào tỏi,Không chay,0,1,1,0,1,0,1,0,0,1,"Béo phì, Tim mạch, Huyết áp, Thiếu kẽm, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh kếp yến mạch,Vú sữa lò rèn,Gỏi cuốn tôm thịt; Phở; Canh chua,Cơm gà Hải Nam; Rau củ luộc,Không chay,1,0,1,0,0,1,0,0,1,1,"Táo bón, Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Tăng chất xơ, uống đủ nước, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh chuối nướng ngũ cốc,Sữa chua thực vật,Gỏi bóng cá chay trộn gỏi dưa leo siêu dễ làm; Nem Thính Rong Sụn Chay; Canh bí đỏ,Bún Nấm Rơm Nấu Chao Chay; Nem Thính Rong Sụn Chay,chay,0,0,0,0,0,0,0,1,1,0,"Suy dinh dưỡng, Thiếu canxi","Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Bắp luộc,kiwi,Bánh pancake mật ong; Ức gà áp chảo; Rau muống xào tỏi,Bánh pancake mật ong; Đậu phụ sốt; Cải thìa xào,Không chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + dâu,Vú sữa lò rèn,Bánh mì trứng ốp la; Cải thìa xào; Canh bí đỏ,Chả lá lốt hấp; Trứng luộc; Rau muống xào tỏi,Không chay,0,0,0,0,0,1,0,1,1,0,"Thiếu máu, Suy dinh dưỡng, Thiếu canxi","Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Bắp luộc ốp la,Sữa chua Hy Lạp,Cháo gà; Salad trộn ít dầu; Canh bí đỏ,Miến măng vịt; Tôm nướng; Cải thìa xào,Không chay,0,1,1,0,0,0,0,1,0,1,"Béo phì, Tim mạch, Thiếu canxi, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh chuối bơ lạc,Bánh lá nước cốt dừa,Bún thang; Cá hấp; Rau luộc,Xôi mặn; Rau muống xào tỏi; Tôm nướng,Không chay,1,1,0,0,0,1,0,0,0,0,"Táo bón, Béo phì, Thiếu máu","Tăng chất xơ, uống đủ nước, Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung sắt, tăng cường máu"
Bánh tằm bì,Chuối chiên,Chân giò hầm hạt sen; Miến; Tôm nướng,Rau muống xào tỏi; Đậu phụ hấp,Không chay,0,0,1,0,0,1,0,0,0,1,"Tim mạch, Thiếu máu, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
